,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
273,2019,2,Jujuy,33022,30742,274,812,218570,86707
274,2019,2,La Pampa,19471,52101,4840,10789,30040,90205
275,2019,2,La Rioja,15014,34984,11,251,410,50301
276,2019,2,Mendoza,148673,54027,6865,12748,15440,223857
277,2019,2,Misiones,55373,64272,543,421,122690,132878
278,2019,2,Neuquén,43420,59021,4983,12792,27370,122953
279,2019,2,Río Negro,67841,36527,4037,10485,196570,138547
280,2019,2,Salta,68827,62343,725,1210,94630,142568
281,2019,2,San Juan,51680,7425,1174,2870,68760,70025
282,2019,2,San Luis,11130,10298,347,57242,383680,117385
283,2019,2,Santa Cruz,10665,10257,379,6514,27350,30550
284,2019,2,Santa Fe,325420,355140,18236,21980,227080,743484
285,2019,2,Santiago Del Estero,24393,64783,219,2759,346000,126754
286,2019,2,Tierra Del Fuego,19790,25527,651,0,14860,47454
287,2019,2,Tucumán,153121,12089,116,684,3210,166331
288,2019,1,Buenos Aires,1304507,2020730,336362,64867,202010,3746667
289,2019,1,Capital Federal,328246,1030814,32281,3978,42810,1399600
290,2019,1,Catamarca,26912,4443,16,0,22510,33622
291,2019,1,Chaco,53409,43555,1951,3628,11340,103677
292,2019,1,Chubut,37302,23065,1923,14443,30450,79778
293,2019,1,Córdoba,323272,363959,19902,24615,123670,744115
294,2019,1,Corrientes,55842,43444,1615,1528,580,102487
295,2019,1,Entre Ríos,100999,90253,12723,16231,122410,232447
296,2019,1,Formosa,22570,7878,940,13761,620,45211
297,2019,1,Jujuy,33248,12484,153,640,436220,90147
298,2019,1,La Pampa,18832,57373,2891,9023,10410,89160
299,2019,1,La Rioja,16367,34984,12,252,410,51656
300,2019,1,Mendoza,148524,40205,5662,10363,15440,206298
301,2019,1,Misiones,54898,59214,465,426,77170,122720
302,2019,1,Neuquén,40747,55634,3114,12510,23720,114377
303,2019,1,Río Negro,68377,34124,3994,9736,48570,121088
304,2019,1,Salta,74426,57933,647,1135,18790,136020
305,2019,1,San Juan,51660,5838,808,2932,12070,62445
306,2019,1,San Luis,11108,7784,378,53097,239680,96335
307,2019,1,Santa Cruz,10659,4615,382,6514,27350,24905
308,2019,1,Santa Fe,340038,340344,15621,23215,178600,737078
309,2019,1,Santiago Del Estero,25337,61547,23,2847,990,89853
310,2019,1,Tierra Del Fuego,19789,23549,1623,0,14860,46447
311,2019,1,Tucumán,159215,11670,118,678,3210,172002
312,2018,4,Buenos Aires,1305576,1949637,296102,65477,198140,3636606
313,2018,4,Capital Federal,328253,1019490,33042,3978,42570,1389020
314,2018,4,Catamarca,26912,4443,16,0,22120,33583
315,2018,4,Chaco,53409,43555,1940,3236,11300,103270
316,2018,4,Chubut,37215,23065,952,14443,30470,78722
317,2018,4,Córdoba,328854,355716,17675,21851,132430,737339
318,2018,4,Corrientes,55842,42418,796,1515,300,100601
319,2018,4,Entre Ríos,101168,86198,4853,15472,143560,222047
320,2018,4,Formosa,22619,7880,887,13761,570,45204
321,2018,4,Jujuy,33248,12484,153,640,436080,90133
322,2018,4,La Pampa,18832,55337,2685,7772,10100,85636
323,2018,4,La Rioja,16367,34984,12,252,360,51651
324,2018,4,Mendoza,148524,40205,5665,10363,15470,206304
325,2018,4,Misiones,55500,53673,465,426,62090,116273
326,2018,4,Neuquén,40747,55634,3115,12425,24440,114365
327,2018,4,Río Negro,68377,34292,1299,8037,48320,116837
328,2018,4,Salta,74295,57539,638,253,18530,134578
329,2018,4,San Juan,51660,5838,806,2883,12110,62398
330,2018,4,San Luis,11108,7784,378,53097,239640,96331
331,2018,4,Santa Cruz,10659,4615,382,6378,27340,24768
332,2018,4,Santa Fe,335519,322782,14387,18705,289970,720390
333,2018,4,Santiago Del Estero,25339,61243,23,2649,810,89335
334,2018,4,Tierra Del Fuego,19789,23349,1623,0,14990,46260
335,2018,4,Tucumán,159215,11670,119,686,3140,172004
336,2018,3,Buenos Aires,1435856,1929273,156382,62318,264480,3610277
337,2018,3,Capital Federal,334353,1009252,35694,3872,93190,1392490
338,2018,3,Catamarca,27553,4443,15,1,22140,34226
339,2018,3,Chaco,53927,42359,1990,2628,11290,102033
340,2018,3,Chubut,58887,23065,1239,13817,67280,103736
341,2018,3,Córdoba,337620,342401,15785,19213,108390,725858
342,2018,3,Corrientes,56444,41300,212,1468,320,99456
343,2018,3,Entre Ríos,103318,83714,2403,15093,800,204608
344,2018,3,Formosa,22777,7589,817,13625,570,44865
345,2018,3,Jujuy,33363,10856,32,641,430,44935
346,2018,3,La Pampa,12415,54574,8437,7011,9870,83424
347,2018,3,La Rioja,16587,34984,13,253,350,51872
348,2018,3,Mendoza,151033,40205,5744,8195,18520,207029
349,2018,3,Misiones,56290,50793,512,391,560,108042
350,2018,3,Neuquén,46602,54129,998,12277,27120,116718
351,2018,3,Río Negro,68590,33474,1252,5051,51250,113492
352,2018,3,Salta,76600,53980,678,234,13910,132883
353,2018,3,San Juan,54025,5838,826,2744,10480,64481
354,2018,3,San Luis,11096,7784,368,52859,23140,74421
355,2018,3,Santa Cruz,18606,4574,585,6238,39960,33999
356,2018,3,Santa Fe,339126,312866,11749,16337,150220,695100
357,2018,3,Santiago Del Estero,25805,58789,23,1662,810,86360
