,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
3066,BUENOS AIRES,Carlos Tejedor,Colonia Seré,726,NO,NO,NO,NO,NO,SI,SI,NO,NO,6154020.0,-354388157700903,-627252382146864
3067,BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi (Est. Alberdi),3404,SI,SI,NO,SI,NO,SI,SI,SI,SI,6462040.0,-344387919326349,-618121893821736
3068,BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,2468,NO,SI,NO,NO,NO,SI,NO,SI,SI,6462050.0,-345217246234597,-61391182899484
3069,BUENOS AIRES,Leandro N. Alem,Vedia,8827,SI,NO,SI,SI,SI,SI,SI,SI,SI,6462060.0,-344973984349932,-615453447631479
3070,BUENOS AIRES,Lincoln,Arenaza,1328,SI,NO,NO,NO,NO,NO,NO,SI,SI,6469010.0,-349846043002155,-617729116988591
3071,BUENOS AIRES,Lincoln,Bayauca,541,NO,NO,NO,NO,NO,SI,SI,NO,SI,6469020.0,-348710511337121,-612895451446375
3072,BUENOS AIRES,Lincoln,Bermúdez,72,NO,NO,NO,NO,NO,NO,NO,NO,NO,6469030.0,-346966047108596,-613250128810539
3073,BUENOS AIRES,Lincoln,Carlos Salas,234,NO,NO,NO,NO,NO,NO,NO,NO,NO,6469040.0,-353913662871435,-619949102331933
3074,BUENOS AIRES,Lincoln,Coronel Martínez de Hoz (Ap. Kilómetro 322),1041,SI,NO,NO,NO,NO,NO,SI,SI,SI,6469050.0,-353321817215807,-616140851684372
3075,BUENOS AIRES,Lincoln,El Triunfo,1543,NO,NO,SI,SI,NO,NO,SI,SI,SI,6469060.0,-350882210775847,-615163333232822
3076,BUENOS AIRES,Lincoln,Las Toscas,485,SI,NO,NO,NO,NO,NO,SI,NO,NO,6469070.0,-353627586364746,-618061599731445
3077,BUENOS AIRES,Lincoln,Lincoln,28051,SI,SI,SI,SI,NO,NO,SI,SI,SI,6469080.0,-34869042222818,-615291649669285
3078,BUENOS AIRES,Lincoln,Pasteur,1962,NO,NO,NO,NO,SI,SI,SI,SI,SI,6469090.0,-351426386337075,-622439028944602
3079,ENTRE RIOS,Concordia,Nueva Escocia,453,NO,NO,NO,NO,NO,SI,NO,NO,SI,30015110.0,-316473163855612,-580158126069679
3080,BUENOS AIRES,Lincoln,Roberts,2982,NO,NO,SI,SI,NO,NO,SI,SI,SI,6469100.0,-351440875676884,-619707859541264
3081,BUENOS AIRES,Lincoln,Triunvirato,76,NO,NO,NO,NO,NO,NO,NO,NO,NO,6469110.0,-346758379792473,-614657087059048
3082,BUENOS AIRES,Lobería,Arenas Verdes,12,NO,NO,NO,NO,NO,SI,NO,SI,SI,6476010.0,-385463782386967,-58557322112625
3083,BUENOS AIRES,Lobería,Licenciado Matienzo,76,NO,NO,NO,NO,NO,SI,NO,NO,NO,6476020.0,-379097927118145,-589120965943062
3084,BUENOS AIRES,Lobería,Lobería,13005,SI,NO,SI,SI,NO,SI,SI,SI,SI,6476030.0,-38165273387122,-587822303314999
