,Año,Trimestre,Provincia,Mbps (Media de bajada)
417,2017,4,Jujuy,7
418,2017,4,La Pampa,4
419,2017,4,La Rioja,6
420,2017,4,Mendoza,6
421,2017,4,Misiones,11
422,2017,4,Neuquén,11
423,2017,4,Río Negro,8
424,2017,4,Salta,8
425,2017,4,San Juan,6
426,2017,4,San Luis,6
427,2017,4,Santa Cruz,5
428,2017,4,Santa Fe,10
429,2017,4,Santiago Del Estero,6
430,2017,4,Tierra Del Fuego,5
431,2017,4,Tucumán,9
432,2017,3,Buenos Aires,8
433,2017,3,Capital Federal,11
434,2017,3,Catamarca,5
435,2017,3,Chaco,8
436,2017,3,Chubut,3
437,2017,3,Córdoba,9
438,2017,3,Corrientes,7
439,2017,3,Entre Ríos,7
440,2017,3,Formosa,7
441,2017,3,Jujuy,5
442,2017,3,La Pampa,3
443,2017,3,La Rioja,5
444,2017,3,Mendoza,4
445,2017,3,Misiones,8
446,2017,3,Neuquén,8
447,2017,3,Río Negro,5
448,2017,3,Salta,6
449,2017,3,San Juan,3
450,2017,3,San Luis,4
451,2017,3,Santa Cruz,4
452,2017,3,Santa Fe,8
453,2017,3,Santiago Del Estero,5
454,2017,3,Tierra Del Fuego,3
455,2017,3,Tucumán,6
456,2017,2,Buenos Aires,7
457,2017,2,Capital Federal,9
458,2017,2,Catamarca,5
459,2017,2,Chaco,8
460,2017,2,Chubut,3
461,2017,2,Córdoba,7
462,2017,2,Corrientes,7
463,2017,2,Entre Ríos,6
464,2017,2,Formosa,6
465,2017,2,Jujuy,5
466,2017,2,La Pampa,3
467,2017,2,La Rioja,6
468,2017,2,Mendoza,4
469,2017,2,Misiones,8
470,2017,2,Neuquén,7
471,2017,2,Río Negro,5
472,2017,2,Salta,6
473,2017,2,San Juan,3
474,2017,2,San Luis,4
475,2017,2,Santa Cruz,4
476,2017,2,Santa Fe,7
477,2017,2,Santiago Del Estero,5
478,2017,2,Tierra Del Fuego,3
479,2017,2,Tucumán,6
480,2017,1,Buenos Aires,7
481,2017,1,Capital Federal,8
482,2017,1,Catamarca,5
483,2017,1,Chaco,7
484,2017,1,Chubut,3
485,2017,1,Córdoba,7
486,2017,1,Corrientes,6
487,2017,1,Entre Ríos,6
488,2017,1,Formosa,6
489,2017,1,Jujuy,4
490,2017,1,La Pampa,3
491,2017,1,La Rioja,5
492,2017,1,Mendoza,4
493,2017,1,Misiones,7
494,2017,1,Neuquén,6
495,2017,1,Río Negro,4
496,2017,1,Salta,5
497,2017,1,San Juan,3
498,2017,1,San Luis,4
499,2017,1,Santa Cruz,4
500,2017,1,Santa Fe,6
501,2017,1,Santiago Del Estero,5
502,2017,1,Tierra Del Fuego,3
503,2017,1,Tucumán,6
504,2016,4,Buenos Aires,6
505,2016,4,Capital Federal,8
506,2016,4,Catamarca,5
507,2016,4,Chaco,7
508,2016,4,Chubut,3
509,2016,4,Córdoba,6
510,2016,4,Corrientes,6
511,2016,4,Entre Ríos,6
512,2016,4,Formosa,6
513,2016,4,Jujuy,4
514,2016,4,La Pampa,3
515,2016,4,La Rioja,5
516,2016,4,Mendoza,4
517,2016,4,Misiones,7
518,2016,4,Neuquén,6
519,2016,4,Río Negro,4
520,2016,4,Salta,5
521,2016,4,San Juan,3
522,2016,4,San Luis,4
523,2016,4,Santa Cruz,4
524,2016,4,Santa Fe,6
525,2016,4,Santiago Del Estero,5
526,2016,4,Tierra Del Fuego,3
527,2016,4,Tucumán,6
528,2016,3,Buenos Aires,6
529,2016,3,Capital Federal,7
530,2016,3,Catamarca,5
531,2016,3,Chaco,7
532,2016,3,Chubut,3
533,2016,3,Córdoba,6
534,2016,3,Corrientes,6
535,2016,3,Entre Ríos,6
536,2016,3,Formosa,5
537,2016,3,Jujuy,4
538,2016,3,La Pampa,3
539,2016,3,La Rioja,5
540,2016,3,Mendoza,4
541,2016,3,Misiones,7
542,2016,3,Neuquén,5
543,2016,3,Río Negro,4
544,2016,3,Salta,5
545,2016,3,San Juan,3
546,2016,3,San Luis,4
547,2016,3,Santa Cruz,4
548,2016,3,Santa Fe,6
549,2016,3,Santiago Del Estero,5
550,2016,3,Tierra Del Fuego,3
551,2016,3,Tucumán,6
552,2016,2,Buenos Aires,5
553,2016,2,Capital Federal,7
554,2016,2,Catamarca,4
555,2016,2,Chaco,6
556,2016,2,Chubut,3
557,2016,2,Córdoba,6
558,2016,2,Corrientes,6
559,2016,2,Entre Ríos,5
560,2016,2,Formosa,5
561,2016,2,Jujuy,4
562,2016,2,La Pampa,3
563,2016,2,La Rioja,5
564,2016,2,Mendoza,4
565,2016,2,Misiones,6
566,2016,2,Neuquén,5
567,2016,2,Río Negro,4
568,2016,2,Salta,5
569,2016,2,San Juan,3
570,2016,2,San Luis,4
571,2016,2,Santa Cruz,4
572,2016,2,Santa Fe,5
573,2016,2,Santiago Del Estero,4
574,2016,2,Tierra Del Fuego,3
575,2016,2,Tucumán,5
576,2016,1,Buenos Aires,5
577,2016,1,Capital Federal,6
578,2016,1,Catamarca,4
579,2016,1,Chaco,6
580,2016,1,Chubut,3
581,2016,1,Córdoba,5
582,2016,1,Corrientes,5
583,2016,1,Entre Ríos,5
584,2016,1,Formosa,5
585,2016,1,Jujuy,4
586,2016,1,La Pampa,3
587,2016,1,La Rioja,5
588,2016,1,Mendoza,4
589,2016,1,Misiones,6
590,2016,1,Neuquén,4
591,2016,1,Río Negro,4
592,2016,1,Salta,5
593,2016,1,San Juan,3
594,2016,1,San Luis,4
595,2016,1,Santa Cruz,3
596,2016,1,Santa Fe,5
597,2016,1,Santiago Del Estero,4
598,2016,1,Tierra Del Fuego,3
599,2016,1,Tucumán,5
600,2015,4,Buenos Aires,5
601,2015,4,Capital Federal,6
602,2015,4,Catamarca,4
603,2015,4,Chaco,6
604,2015,4,Chubut,3
605,2015,4,Córdoba,5
606,2015,4,Corrientes,5
607,2015,4,Entre Ríos,5
608,2015,4,Formosa,5
609,2015,4,Jujuy,4
610,2015,4,La Pampa,3
611,2015,4,La Rioja,5
612,2015,4,Mendoza,4
613,2015,4,Misiones,6
614,2015,4,Neuquén,4
615,2015,4,Río Negro,4
616,2015,4,Salta,5
617,2015,4,San Juan,3
618,2015,4,San Luis,4
619,2015,4,Santa Cruz,3
620,2015,4,Santa Fe,5
621,2015,4,Santiago Del Estero,4
622,2015,4,Tierra Del Fuego,3
623,2015,4,Tucumán,5
624,2015,3,Buenos Aires,5
625,2015,3,Capital Federal,6
626,2015,3,Catamarca,4
